,code,stock_at,collect_at,remain_stat
131,11800208,2020-04-26 09:01:00,2020-04-27 00:00:00,empty
132,11800208,2020-04-27 08:01:00,2020-04-27 08:05:00,plenty
133,11800208,2020-04-27 08:01:00,2020-04-27 09:20:00,some
134,11800208,2020-04-27 08:01:00,2020-04-27 09:35:00,few
135,11800208,2020-04-27 08:01:00,2020-04-27 09:40:00,some
136,11800208,2020-04-27 08:01:00,2020-04-27 10:05:00,few
137,11800208,2020-04-27 08:01:00,2020-04-27 10:15:00,some
138,11800208,2020-04-27 08:01:00,2020-04-27 11:20:00,few
139,11800208,2020-04-27 08:01:00,2020-04-27 11:35:00,some
140,11800208,2020-04-27 08:01:00,2020-04-27 12:35:00,few
141,11800208,2020-04-27 08:01:00,2020-04-27 12:50:00,some
142,11800208,2020-04-27 08:01:00,2020-04-27 13:30:00,few
143,11800208,2020-04-27 08:01:00,2020-04-27 14:50:00,some
144,11800208,2020-04-27 08:01:00,2020-04-27 15:25:00,few
145,11800208,2020-04-27 08:01:00,2020-04-27 15:55:00,some
146,11800208,2020-04-27 08:01:00,2020-04-27 16:45:00,plenty
147,11800208,2020-04-27 08:01:00,2020-04-27 17:15:00,some
148,11800208,2020-04-27 08:01:00,2020-04-27 17:30:00,few
149,11800208,2020-04-27 08:01:00,2020-04-27 17:35:00,some
150,11800208,2020-04-27 08:01:00,2020-04-27 18:30:00,few
151,11800208,2020-04-27 08:01:00,2020-04-27 18:50:00,some
152,11800208,2020-04-27 08:01:00,2020-04-27 19:30:00,few
153,11800208,2020-04-28 08:06:00,2020-04-28 08:10:00,plenty
154,11800208,2020-04-28 08:06:00,2020-04-28 09:20:00,some
155,11800208,2020-04-28 08:06:00,2020-04-28 09:50:00,few
156,11800208,2020-04-28 08:06:00,2020-04-28 10:25:00,some
157,11800208,2020-04-28 08:06:00,2020-04-28 12:00:00,few
158,11800208,2020-04-28 08:06:00,2020-04-28 12:20:00,some
159,11800208,2020-04-28 08:06:00,2020-04-28 12:55:00,few
160,11800208,2020-04-28 08:06:00,2020-04-28 13:05:00,some
161,11800208,2020-04-28 08:06:00,2020-04-28 13:45:00,plenty
162,11800208,2020-04-28 08:06:00,2020-04-28 15:15:00,some
163,11800208,2020-04-28 08:06:00,2020-04-28 16:55:00,few
164,11800208,2020-04-28 08:06:00,2020-04-28 17:30:00,plenty
165,11800208,2020-04-28 08:06:00,2020-04-28 18:00:00,some
166,11800208,2020-04-28 08:06:00,2020-04-28 18:50:00,few
167,11800208,2020-04-28 08:06:00,2020-04-28 19:25:00,some
168,11800208,2020-04-28 08:06:00,2020-04-29 08:20:00,few
169,11800208,2020-04-29 08:17:00,2020-04-29 08:25:00,plenty
170,11800208,2020-04-29 08:17:00,2020-04-29 12:30:00,some
171,11800208,2020-04-29 08:17:00,2020-04-29 12:35:00,plenty
172,11800208,2020-05-03 09:15:00,2020-05-04 00:00:00,break
173,11800208,2020-05-04 08:07:00,2020-05-04 08:10:00,plenty
174,11800208,2020-05-05 08:36:00,2020-05-05 18:30:00,break
175,11800208,2020-05-06 08:12:00,2020-05-06 10:30:00,plenty
176,11800208,2020-05-06 08:12:00,2020-05-06 20:30:00,some
177,11800208,2020-05-07 08:08:00,2020-05-07 08:15:00,plenty
178,11800208,2020-05-07 08:08:00,2020-05-07 20:20:00,some
179,11800208,2020-05-08 08:11:00,2020-05-08 08:20:00,plenty
180,11800208,2020-05-10 08:58:00,2020-05-11 00:00:00,empty
181,11800208,2020-05-11 08:11:00,2020-05-11 08:15:00,plenty
182,11800208,2020-05-11 08:11:00,2020-05-11 17:00:00,some
183,11800208,2020-05-11 08:11:00,2020-05-11 18:45:00,plenty
184,11800208,2020-05-11 08:11:00,2020-05-11 19:10:00,some
185,11800208,2020-05-11 08:11:00,2020-05-11 19:20:00,few
186,11800208,2020-05-11 08:11:00,2020-05-11 19:25:00,plenty
187,11800208,2020-05-11 08:11:00,2020-05-11 19:35:00,some
188,11800208,2020-05-11 08:11:00,2020-05-11 20:50:00,few
189,11800208,2020-05-11 08:11:00,2020-05-11 21:35:00,break
190,11802090,2020-03-14 12:47:00,2020-03-16 00:00:00,empty
191,11802090,2020-03-16 14:41:00,2020-03-16 14:50:00,plenty
192,11802090,2020-03-16 14:41:00,2020-03-16 15:20:00,some
